model,task,errorType,id,title,source,publishedAt,language,relevance,eventType,impactDirection,expected,predicted,evidenceSentenceIds,symbols,sectors,rationale,rawOutput,url
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d3081e,सुशासन र मध्यम वर्गको विस्तार सरकारको मुख्य प्राथमिकता : अर्थमन्त्री वाग्ले,बिजनेस – Page 12 – Online Khabar,2026-05-19T12:25:50.000Z,ne,indirect,fiscal_macroeconomic,uncertain,indirect,not_relevant,S4;S6;S7;S9,,,"अर्थमन्त्रीले सुशासन, भ्रष्टाचार नियन्त्रण र मध्यम वर्गको विस्तार जस्ता वृहत आर्थिक नीतिगत प्राथमिकताहरू प्रस्तुत गरेका छन्, जसले देशको समग्र आर्थिक विकास र बजारको वातावरणमा अप्रत्यक्ष प्रभाव पार्न सक्छ ।",,https://www.onlinekhabar.com/2026/05/1935296/good-governance-and-expansion-of-middle-class-are-the-governments-main-priorities-finance-minister-wagle
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d3081f,"कृषि मन्त्रालयले भन्यो- मलको अभाव छैन, झन्डै डेढ लाख मेट्रिक टन मौज्दात छ",बिजनेस – Page 12 – Online Khabar,2026-05-19T15:48:54.000Z,ne,not_relevant,not_applicable,not_applicable,not_relevant,indirect,S2;S5,,,"यो समाचार कृषि क्षेत्रको मलको आपूर्ति र मूल्यसँग सम्बन्धित सामान्य खबर हो, जसले नेप्से बजार वा सूचीकृत कम्पनीहरूमा पर्ने कुनै प्रत्यक्ष वा प्रमाणित संयन्त्र देखाउँदैन।",,https://www.onlinekhabar.com/2026/05/1935440/ministry-of-agriculture-says-there-is-no-shortage-of-fertilizer-there-is-a-stock-of-about-1-5-lakh-metric-tons
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d3082b,"धनियाँको मूल्य बढ्यो, पुदिनाको घट्यो",बिजनेस – Page 11 – Online Khabar,2026-05-25T07:13:34.000Z,ne,not_relevant,not_applicable,not_applicable,not_relevant,direct,S2;S3;S4;S5,,,"यो समाचार कृषि वस्तु (धनियाँ र पुदिना) को मूल्यमा केन्द्रित छ, जसको नेप्से (NEPSE) वा शेयर बजारमा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव पर्दैन।",,https://www.onlinekhabar.com/2026/05/1939037/coriander-prices-increase-mint-prices-decrease
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d30834,"देशभरि ६२ लाख ४९ हजार सवारीसाधन दर्ता, मोटरसाइकल मात्र ५० लाख",बिजनेस – Page 9 – Online Khabar,2026-05-27T09:16:06.000Z,ne,not_relevant,not_applicable,not_applicable,not_relevant,indirect,S2;S3,,,सवारीसाधन दर्ता र लाइसेन्स वितरण सम्बन्धी यो तथ्याङ्कीय समाचारको NEPSE मा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव देखिँदैन।,,https://www.onlinekhabar.com/2026/05/1940704/6-249-million-vehicles-registered-across-the-country-5-million-motorcycles-alone
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d30837,"धेरै नाफा गर्ने संस्थान आयल निगम, नेवानिको घाटा सवा अर्ब",बिजनेस – Page 9 – Online Khabar,2026-05-27T15:45:08.000Z,ne,not_relevant,not_applicable,not_applicable,not_relevant,indirect,S2;S3;S4;S5;S8,,,यो समाचार सार्वजनिक संस्थानहरूको वित्तीय अवस्था र सरकारको लगानीको बारेमा मात्र छ । यी संस्थानहरू नेप्सेमा सूचीकृत नभएको र यसले शेयर बजारमा पर्ने कुनै विशेष संयन्त्र उल्लेख नभएकोले यो सान्दर्भिक छैन ।,,https://www.onlinekhabar.com/2026/05/1940971/oil-corporation-a-highly-profitable-corporation-has-a-loss-of-1-25-billion
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d3083a,कर्जा दिनै डराउन थाले बैंकर,बिजनेस – Page 8 – Online Khabar,2026-05-28T16:01:15.000Z,ne,indirect,monetary_liquidity,bearish,indirect,not_relevant,S2;S3;S4;S6;S13;S14,,Banking,बैंकरहरूले कर्जा प्रवाहमा कडाइ गर्दा र राष्ट्र बैंकले सेयर बजारसँग सम्बन्धित क्षेत्रमा कर्जा नीति कडाइ गर्दा बजारमा तरलता संकुचन भई सेयर बजारमा नकारात्मक असर पर्न सक्छ।,,https://www.onlinekhabar.com/2026/05/1940900/bankers-are-afraid-to-give-loans
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d3083c,विदेशी विनिमय सञ्चितिलाई ‘सोभरिन वेल्थ फन्ड’ परिचालन,बिजनेस – Page 8 – Online Khabar,2026-05-29T10:58:50.000Z,ne,indirect,fiscal_macroeconomic,uncertain,indirect,direct,S2;S3;S4,,,सरकारले विदेशी विनिमय सञ्चितिबाट सोभरिन वेल्थ फन्ड परिचालन गर्ने नीति लिएमा यसले देशको वित्तीय तरलता र लगानीको वातावरणमा प्रभाव पार्न सक्छ ।,,https://www.onlinekhabar.com/2026/05/1942322/mobilizing-foreign-exchange-reserves-through-the-sovereign-wealth-fund
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d3083f,"सेयर बजारलाई उत्कृष्ट बजेट, यस्ता छन् समेटिएका विषय",बिजनेस – Page 7 – Online Khabar,2026-05-29T14:42:30.000Z,ne,direct,fiscal_macroeconomic,bullish,direct,not_relevant,S3;S4;S6;S9;S2,,Others,पूँजीगत लाभकर अन्तिम हुने नीतिगत व्यवस्थाले बजारमा अनिश्चितता र विवाद कम गर्ने देखिएकाले सरोकारवालाहरूले यसलाई सकारात्मक मान्नुका साथै करको दरमा भएको वृद्धिले लगानीकर्ताको खुद प्रतिफलमा असर पार्ने देखिन्छ।,,https://www.onlinekhabar.com/2026/05/1942670/excellent-budget-for-the-stock-market-these-are-the-topics-covered
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d30842,"IPO for General Public: Sanigad Hydro Limited Issue 46,74,000 Units IPO Shares from Today",ShareSansar,2026-06-01T02:40:00.000Z,en,direct,capital_action,bullish,direct,indirect,S1;S12;S15,SHL,Hydropower,Sanigad Hydro Limited is raising capital through its IPO and has also received a rating upgrade from ICRA Nepal.,,https://www.sharesansar.com/newsdetail/ipo-for-general-public-sanigad-hydro-limited-issue-4674000-units-ipo-shares-from-today-2026-06-01
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d30843,एक महिनामै ३२ प्रतिशत महँगियो आलु,बिजनेस – Page 7 – Online Khabar,2026-06-01T07:09:21.000Z,ne,not_relevant,not_applicable,not_applicable,not_relevant,direct,S2;S6;S9,,,"यो समाचारले तरकारीको बजार मूल्यमा भएको परिवर्तनबारे जानकारी दिएको छ, जसको शेयर बजार (NEPSE) सँग कुनै प्रत्यक्ष वा अप्रत्यक्ष सम्बन्ध देखिएको छैन।",,https://www.onlinekhabar.com/2026/06/1944194/potato-prices-rise-32-percent-in-one-month
xlmr-relevance,relevance,label_mismatch,6a2f0a578a1c034887d30846,हिमालयन बैंक र यूनियन पेको सहकार्यमा ‘आरएमबी कार्ड’ सेवा सुरु,बिजनेस – Page 6 – Online Khabar,2026-06-01T13:15:21.000Z,ne,direct,project_operations,bullish,direct,not_relevant,S2;S6;S8,HBL,Banking,नयाँ आरएमबी कार्ड सेवाको माध्यमबाट बैंकले चिनियाँ भ्रमण गर्ने ग्राहकहरूबाट हुने कारोबार र सेवा शुल्क मार्फत राजस्व बढाउन सक्ने सम्भावना रहन्छ ।,,https://www.onlinekhabar.com/2026/06/1944577/rmb-card-service-launched-in-collaboration-with-himalayan-bank-and-union-pay
