priorityScore,id,title,source,publishedAt,language,relevance,eventType,impactDirection,models,reasons,evidenceSentenceIds,symbols,sectors,rationale,url
10,6a2f0a578a1c034887d3081f,"कृषि मन्त्रालयले भन्यो- मलको अभाव छैन, झन्डै डेढ लाख मेट्रिक टन मौज्दात छ",बिजनेस – Page 12 – Online Khabar,2026-05-19T15:48:54.000Z,ne,not_relevant,not_applicable,not_applicable,xlmr-relevance;qwen-qlora,xlmr-relevance: not_relevant->indirect; qwen relevance: not_relevant->direct,S2;S5,,,"यो समाचार कृषि क्षेत्रको मलको आपूर्ति र मूल्यसँग सम्बन्धित सामान्य खबर हो, जसले नेप्से बजार वा सूचीकृत कम्पनीहरूमा पर्ने कुनै प्रत्यक्ष वा प्रमाणित संयन्त्र देखाउँदैन।",https://www.onlinekhabar.com/2026/05/1935440/ministry-of-agriculture-says-there-is-no-shortage-of-fertilizer-there-is-a-stock-of-about-1-5-lakh-metric-tons
10,6a2f0a578a1c034887d3082b,"धनियाँको मूल्य बढ्यो, पुदिनाको घट्यो",बिजनेस – Page 11 – Online Khabar,2026-05-25T07:13:34.000Z,ne,not_relevant,not_applicable,not_applicable,xlmr-relevance;qwen-qlora,xlmr-relevance: not_relevant->direct; qwen relevance: not_relevant->direct,S2;S3;S4;S5,,,"यो समाचार कृषि वस्तु (धनियाँ र पुदिना) को मूल्यमा केन्द्रित छ, जसको नेप्से (NEPSE) वा शेयर बजारमा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव पर्दैन।",https://www.onlinekhabar.com/2026/05/1939037/coriander-prices-increase-mint-prices-decrease
10,6a2f0a578a1c034887d30837,"धेरै नाफा गर्ने संस्थान आयल निगम, नेवानिको घाटा सवा अर्ब",बिजनेस – Page 9 – Online Khabar,2026-05-27T15:45:08.000Z,ne,not_relevant,not_applicable,not_applicable,xlmr-relevance;qwen-qlora,xlmr-relevance: not_relevant->indirect; qwen relevance: not_relevant->direct,S2;S3;S4;S5;S8,,,यो समाचार सार्वजनिक संस्थानहरूको वित्तीय अवस्था र सरकारको लगानीको बारेमा मात्र छ । यी संस्थानहरू नेप्सेमा सूचीकृत नभएको र यसले शेयर बजारमा पर्ने कुनै विशेष संयन्त्र उल्लेख नभएकोले यो सान्दर्भिक छैन ।,https://www.onlinekhabar.com/2026/05/1940971/oil-corporation-a-highly-profitable-corporation-has-a-loss-of-1-25-billion
10,6a2f0a578a1c034887d30843,एक महिनामै ३२ प्रतिशत महँगियो आलु,बिजनेस – Page 7 – Online Khabar,2026-06-01T07:09:21.000Z,ne,not_relevant,not_applicable,not_applicable,xlmr-relevance;qwen-qlora,xlmr-relevance: not_relevant->direct; qwen relevance: not_relevant->direct,S2;S6;S9,,,"यो समाचारले तरकारीको बजार मूल्यमा भएको परिवर्तनबारे जानकारी दिएको छ, जसको शेयर बजार (NEPSE) सँग कुनै प्रत्यक्ष वा अप्रत्यक्ष सम्बन्ध देखिएको छैन।",https://www.onlinekhabar.com/2026/06/1944194/potato-prices-rise-32-percent-in-one-month
10,6a2f0a578a1c034887d3084f,निगुरोको मूल्य बढ्यो,बिजनेस – Page 5 – Online Khabar,2026-06-04T06:28:23.000Z,ne,not_relevant,not_applicable,not_applicable,xlmr-relevance;qwen-qlora,xlmr-relevance: not_relevant->direct; qwen relevance: not_relevant->direct,S2,,,"यो समाचार स्थानीय कृषि उत्पादनको मूल्यसँग सम्बन्धित छ, जसको NEPSE वा सूचीकृत कम्पनीहरूसँग कुनै प्रत्यक्ष वा अप्रत्यक्ष सम्बन्ध छैन ।",https://www.onlinekhabar.com/2026/06/1946410/the-price-of-black-pepper-has-increased
8,6a2f0a578a1c034887d3083f,"सेयर बजारलाई उत्कृष्ट बजेट, यस्ता छन् समेटिएका विषय",बिजनेस – Page 7 – Online Khabar,2026-05-29T14:42:30.000Z,ne,direct,fiscal_macroeconomic,bullish,xlmr-relevance;xlmr-direction;qwen-qlora,xlmr-relevance: direct->not_relevant; xlmr-direction: bullish->uncertain; qwen invalid/truncated JSON,S3;S4;S6;S9;S2,,Others,पूँजीगत लाभकर अन्तिम हुने नीतिगत व्यवस्थाले बजारमा अनिश्चितता र विवाद कम गर्ने देखिएकाले सरोकारवालाहरूले यसलाई सकारात्मक मान्नुका साथै करको दरमा भएको वृद्धिले लगानीकर्ताको खुद प्रतिफलमा असर पार्ने देखिन्छ।,https://www.onlinekhabar.com/2026/05/1942670/excellent-budget-for-the-stock-market-these-are-the-topics-covered
8,6a2f0a578a1c034887d30846,हिमालयन बैंक र यूनियन पेको सहकार्यमा ‘आरएमबी कार्ड’ सेवा सुरु,बिजनेस – Page 6 – Online Khabar,2026-06-01T13:15:21.000Z,ne,direct,project_operations,bullish,xlmr-relevance;xlmr-direction;qwen-qlora,xlmr-relevance: direct->not_relevant; xlmr-direction: bullish->uncertain; qwen invalid/truncated JSON,S2;S6;S8,HBL,Banking,नयाँ आरएमबी कार्ड सेवाको माध्यमबाट बैंकले चिनियाँ भ्रमण गर्ने ग्राहकहरूबाट हुने कारोबार र सेवा शुल्क मार्फत राजस्व बढाउन सक्ने सम्भावना रहन्छ ।,https://www.onlinekhabar.com/2026/06/1944577/rmb-card-service-launched-in-collaboration-with-himalayan-bank-and-union-pay
7,6a2f0a578a1c034887d3085a,नबिल बैंकद्वारा नेपाल–भारत क्रस बोर्डर पीटूपी रेमिट्यान्स सेवा सञ्चालन,बिजनेस – Page 4 – Online Khabar,2026-06-07T08:14:17.000Z,ne,direct,project_operations,bullish,xlmr-relevance;xlmr-direction,xlmr-relevance: direct->not_relevant; xlmr-direction: bullish->uncertain,S2;S3;S4;S5;S6;S10,NABIL,Banking,नयाँ रेमिट्यान्स सेवाको सुरुवातले बैंकको सेवा विस्तार गर्नुका साथै कारोबारको मात्रा र राजस्व बढाउन मद्दत पुर्‍याउन सक्छ।,https://www.onlinekhabar.com/2026/06/1948546/nabil-bank-launches-nepal-india-cross-border-p2p-remittance-service
6,6a2f0a578a1c034887d30834,"देशभरि ६२ लाख ४९ हजार सवारीसाधन दर्ता, मोटरसाइकल मात्र ५० लाख",बिजनेस – Page 9 – Online Khabar,2026-05-27T09:16:06.000Z,ne,not_relevant,not_applicable,not_applicable,xlmr-relevance;qwen-qlora,xlmr-relevance: not_relevant->indirect; qwen invalid/truncated JSON,S2;S3,,,सवारीसाधन दर्ता र लाइसेन्स वितरण सम्बन्धी यो तथ्याङ्कीय समाचारको NEPSE मा कुनै प्रत्यक्ष वा अप्रत्यक्ष प्रभाव देखिँदैन।,https://www.onlinekhabar.com/2026/05/1940704/6-249-million-vehicles-registered-across-the-country-5-million-motorcycles-alone
6,6a2f0a578a1c034887d3083a,कर्जा दिनै डराउन थाले बैंकर,बिजनेस – Page 8 – Online Khabar,2026-05-28T16:01:15.000Z,ne,indirect,monetary_liquidity,bearish,xlmr-relevance;xlmr-direction;qwen-qlora,xlmr-relevance: indirect->not_relevant; xlmr-direction: bearish->uncertain; qwen invalid/truncated JSON,S2;S3;S4;S6;S13;S14,,Banking,बैंकरहरूले कर्जा प्रवाहमा कडाइ गर्दा र राष्ट्र बैंकले सेयर बजारसँग सम्बन्धित क्षेत्रमा कर्जा नीति कडाइ गर्दा बजारमा तरलता संकुचन भई सेयर बजारमा नकारात्मक असर पर्न सक्छ।,https://www.onlinekhabar.com/2026/05/1940900/bankers-are-afraid-to-give-loans
